tree_case	model	nsites	branch_length	replicate	seed	simulator	branch_length_source	target_split	scenario	formula	target_found	left_taxa	right_taxa	valid_sites	skipped_sites	branch_length_used	alpha	alpha_used	satC	satVar	satSE	satZ	satP	decision	modes	eigenvalues	weights	iqtree_satZ	iqtree_satP	iqtree_decision	iqtree_bonf_decision
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_tree_fixed_lengths	dominant	1	4	1	100	0	0.3368421053	0.05	0.05	1.4309178318345852	1.7658099896708501	0.1328837834226152	10.768190030259632	2.4323519203901754e-27	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.76819003	2.43235192e-27	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_tree_fixed_lengths	all_unweighted	1	4	1	100	0	0.3368421053	0.05	0.05	1.4309178318345852	1.7658099896708501	0.1328837834226152	10.768190030259632	2.4323519203901754e-27	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.76819003	2.43235192e-27	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_tree_fixed_lengths	eigenvalue_weighted	1	4	1	100	0	0.3368421053	0.05	0.05	1.4309178318345852	1.7658099896708501	0.1328837834226152	10.768190030259632	2.4323519203901754e-27	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.76819003	2.43235192e-27	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_topology_ml_lengths	dominant	1	4	1	100	0	0.1435484279	0.05	0.05	1.4431750576054165	1.7329135617894957	0.13164017478678366	10.963029029267952	2.8770307350376243e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96302903	2.877030736e-28	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_topology_ml_lengths	all_unweighted	1	4	1	100	0	0.1435484279	0.05	0.05	1.4431750576054165	1.7329135617894957	0.13164017478678366	10.963029029267952	2.8770307350376243e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96302903	2.877030736e-28	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_topology_ml_lengths	eigenvalue_weighted	1	4	1	100	0	0.1435484279	0.05	0.05	1.4431750576054165	1.7329135617894957	0.13164017478678366	10.963029029267952	2.8770307350376243e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96302903	2.877030736e-28	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_unadjusted	dominant	1	4	1	100	0	0.1436979216	0.05	0.05	1.443506845136393	1.7331095375626386	0.13164761819199916	10.964929445446828	2.8172242228484586e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492945	2.817224223e-28	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_unadjusted	all_unweighted	1	4	1	100	0	0.1436979216	0.05	0.05	1.443506845136393	1.7331095375626386	0.13164761819199916	10.964929445446828	2.8172242228484586e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492945	2.817224223e-28	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_unadjusted	eigenvalue_weighted	1	4	1	100	0	0.1436979216	0.05	0.05	1.443506845136393	1.7331095375626386	0.13164761819199916	10.964929445446828	2.8172242228484586e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492945	2.817224223e-28	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_bonferroni	dominant	1	4	1	100	0	0.1436979216	0.05	0.0125	1.443506845136393	1.7331095375626386	0.13164761819199916	10.964929445446828	2.8172242228484586e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492945	2.817224223e-28	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_bonferroni	all_unweighted	1	4	1	100	0	0.1436979216	0.05	0.0125	1.443506845136393	1.7331095375626386	0.13164761819199916	10.964929445446828	2.8172242228484586e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492945	2.817224223e-28	informative	informative
five_external	JC	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_bonferroni	eigenvalue_weighted	1	4	1	100	0	0.1436979216	0.05	0.0125	1.443506845136393	1.7331095375626386	0.13164761819199916	10.964929445446828	2.8172242228484586e-28	informative	0,1,2	-1.333333333,-1.333333333,-1.333333333	1,1,1	10.96492945	2.817224223e-28	informative	informative
five_external	GTR{1,2,1,1,2,1}+F{0.30,0.20,0.20,0.30}	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_tree_fixed_lengths	dominant	1	4	1	100	0	0.3544642857	0.05	0.05	0.5775279506614892	0.7015642494804875	0.08375943227365426	6.895079574735193	2.691732983847873e-12	informative	2	-1.020408163	1	6.895079575	2.691732984e-12	informative	informative
five_external	GTR{1,2,1,1,2,1}+F{0.30,0.20,0.20,0.30}	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_tree_fixed_lengths	all_unweighted	1	4	1	100	0	0.3544642857	0.05	0.05	1.2959481776186328	1.6260930234253148	0.12751835253897043	10.162836578543333	1.4524970927359647e-24	informative	0,1,2	-1.530612245,-1.530612245,-1.020408163	1,1,1	6.895079575	2.691732984e-12	informative	informative
five_external	GTR{1,2,1,1,2,1}+F{0.30,0.20,0.20,0.30}	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_tree_fixed_lengths	eigenvalue_weighted	1	4	1	100	0	0.3544642857	0.05	0.05	1.1770936428728047	1.3473345814976851	0.11607474236446468	10.140824945161905	1.820062166995304e-24	informative	0,1,2	-1.530612245,-1.530612245,-1.020408163	0.8345612633,0.8345612633,1	6.895079575	2.691732984e-12	informative	informative
five_external	GTR{1,2,1,1,2,1}+F{0.30,0.20,0.20,0.30}	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_topology_ml_lengths	dominant	1	4	1	100	0	0.1414137851	0.05	0.05	0.5853734116312402	0.6814331386088338	0.08254896356762051	7.091226665150409	6.646420749194711e-13	informative	2	-1.020408163	1	7.091226665	6.64642075e-13	informative	informative
five_external	GTR{1,2,1,1,2,1}+F{0.30,0.20,0.20,0.30}	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_topology_ml_lengths	all_unweighted	1	4	1	100	0	0.1414137851	0.05	0.05	1.2848111606888886	1.5576151123397646	0.12480445153678472	10.294594021834268	3.7266654752063594e-25	informative	0,1,2	-1.530612245,-1.530612245,-1.020408163	1,1,1	7.091226665	6.64642075e-13	informative	informative
five_external	GTR{1,2,1,1,2,1}+F{0.30,0.20,0.20,0.30}	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	true_topology_ml_lengths	eigenvalue_weighted	1	4	1	100	0	0.1414137851	0.05	0.05	1.2361242982326097	1.4409222568735238	0.12003842121893822	10.29773872132191	3.6068528077659473e-25	informative	0,1,2	-1.530612245,-1.530612245,-1.020408163	0.9303914287,0.9303914287,1	7.091226665	6.64642075e-13	informative	informative
five_external	GTR{1,2,1,1,2,1}+F{0.30,0.20,0.20,0.30}	100	0.1	1	901101	alisim	fixed_0.1_smoke	B	ml_tree_unadjusted	dominant	1	4	1	100	0	0.141725836	0.05	0.05	0.5856175330775679	0.6816552983630186	0.08256241871233053	7.093027823203866	6.560453213178319e-13	informative	2	-1.020408163	1	7.093027823	6.560453213e-13	informative	informative
